field_number,section,field_label,erpnext_doctype,erpnext_source,erpnext_target,field_type,required,transformation,notes
42,Invoice Line,Invoice Line Net Amount,Sales Invoice Item,net_amount,invoice_line_net_amount,Currency,yes,Round using invoice currency precision,Standard calculated field
43,Invoice Line,Item Net Price,Sales Invoice Item,rate,item_net_price,Currency,yes,Use net rate per base quantity,Standard rate field
44,Invoice Line,Item Gross Price,Sales Invoice Item,custom_item_gross_price,item_gross_price,Currency,yes,Calculate net price plus per-unit VAT,Create custom child-table field
45,Invoice Line,Item Price Base Quantity,Sales Invoice Item,custom_price_base_quantity,item_price_base_quantity,Float,yes,Default to 1 when not supplied,Create custom child-table field
46,Invoice Line,Invoiced Item Tax Category Code,Sales Invoice Item,custom_invoiced_item_tax_category_code,invoiced_item_tax_category_code,Data,yes,Map item tax category,Create custom child-table field
47,Invoice Line,Invoiced Item Tax Rate,Sales Invoice Item,custom_invoiced_item_tax_rate,invoiced_item_tax_rate,Percent,yes,Resolve from item tax template or tax row,Create custom child-table field
48,Invoice Line,VAT Line Amount,Sales Invoice Item,custom_vat_line_amount,vat_line_amount,Currency,yes,Calculate line net amount times tax rate,Create custom child-table field
49,Invoice Line,Invoice Line Amount in AED,Sales Invoice Item,base_amount,invoice_line_amount_aed,Currency,yes,Use company currency base amount,Standard calculated field
50,Invoice Line,Item Name,Item,item_name,item_name,Data,yes,Use linked Item record,Item master
51,Invoice Line,Item Description,Sales Invoice Item,description,item_description,Text,yes,Use line description with Item fallback,Standard item field
